POP,GEOIDFQ,SUMLEVEL,REFERENCE_PERIOD,REFERENCE_PERIOD_FREQ,VINTAGE_PERIOD,VINTAGE_PERIOD_FREQ,VALUE_TYPE,CONF_LEVEL,CONF_LIMIT_UPPER,CONF_LIMIT_LOWER,SOURCE,LAST_UPDATED
54825,0500000US39041,050,1981,Y-JUN,1992,,ESTIMATE,,,,CENINT,
55722,0500000US39041,050,1982,Y-JUN,1992,,ESTIMATE,,,,CENINT,
56406,0500000US39041,050,1983,Y-JUN,1992,,ESTIMATE,,,,CENINT,
57053,0500000US39041,050,1984,Y-JUN,1992,,ESTIMATE,,,,CENINT,
58010,0500000US39041,050,1985,Y-JUN,1992,,ESTIMATE,,,,CENINT,
59497,0500000US39041,050,1986,Y-JUN,1992,,ESTIMATE,,,,CENINT,
60675,0500000US39041,050,1987,Y-JUN,1992,,ESTIMATE,,,,CENINT,
62996,0500000US39041,050,1988,Y-JUN,1992,,ESTIMATE,,,,CENINT,
65127,0500000US39041,050,1989,Y-JUN,1992,,ESTIMATE,,,,CENINT,
67450,0500000US39041,050,1990,Y-JUN,2005,,ESTIMATE,,,,CENINT,
70105,0500000US39041,050,1991,Y-JUN,2005,,ESTIMATE,,,,CENINT,
72237,0500000US39041,050,1992,Y-JUN,2005,,ESTIMATE,,,,CENINT,
75058,0500000US39041,050,1993,Y-JUN,2005,,ESTIMATE,,,,CENINT,
78704,0500000US39041,050,1994,Y-JUN,2005,,ESTIMATE,,,,CENINT,
82023,0500000US39041,050,1995,Y-JUN,2005,,ESTIMATE,,,,CENINT,
87024,0500000US39041,050,1996,Y-JUN,2005,,ESTIMATE,,,,CENINT,
92309,0500000US39041,050,1997,Y-JUN,2005,,ESTIMATE,,,,CENINT,
98115,0500000US39041,050,1998,Y-JUN,2005,,ESTIMATE,,,,CENINT,
103681,0500000US39041,050,1999,Y-JUN,2005,,ESTIMATE,,,,CENINT,
109355,0500000US39041,050,2000,Y-JUN,2005,,ESTIMATE,,,,CENINT,
111759,0500000US39041,050,2000,Y-JUN,2012,,ESTIMATE,,,,CENINT,
111658,0500000US39041,050,2000,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
118646,0500000US39041,050,2001,Y-JUN,2012,,ESTIMATE,,,,CENINT,
119087,0500000US39041,050,2001,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
126172,0500000US39041,050,2002,Y-JUN,2012,,ESTIMATE,,,,CENINT,
127032,0500000US39041,050,2002,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
133842,0500000US39041,050,2003,Y-JUN,2012,,ESTIMATE,,,,CENINT,
135148,0500000US39041,050,2003,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
141348,0500000US39041,050,2004,Y-JUN,2012,,ESTIMATE,,,,CENINT,
142183,0500000US39041,050,2004,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
149153,0500000US39041,050,2005,Y-JUN,2012,,ESTIMATE,,,,CENINT,
149453,0500000US39041,050,2005,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
156164,0500000US39041,050,2006,Y-JUN,2012,,ESTIMATE,,,,CENINT,
155871,0500000US39041,050,2006,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
161796,0500000US39041,050,2007,Y-JUN,2012,,ESTIMATE,,,,CENINT,
160911,0500000US39041,050,2007,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
166652,0500000US39041,050,2008,Y-JUN,2012,,ESTIMATE,,,,CENINT,
165135,0500000US39041,050,2008,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
170676,0500000US39041,050,2009,Y-JUN,2012,,ESTIMATE,,,,CENINT,
168512,0500000US39041,050,2009,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
175250,0500000US39041,050,2010,Y-JUN,2012,,ESTIMATE,,,,CENINT,
175149,0500000US39041,050,2010,Y-JUN,2024,,ESTIMATE,,,,CENINT,
172519,0500000US39041,050,2010,Y-JUN,2010,,ESTIMATE,,,,CENPEP,
175238,0500000US39041,050,2010,Y-JUN,2011,,ESTIMATE,,,,CENPEP,
175265,0500000US39041,050,2010,Y-JUN,2012,,ESTIMATE,,,,CENPEP,
175217,0500000US39041,050,2010,Y-JUN,2013,,ESTIMATE,,,,CENPEP,
175108,0500000US39041,050,2010,Y-JUN,2014,,ESTIMATE,,,,CENPEP,
175146,0500000US39041,050,2010,Y-JUN,2015,,ESTIMATE,,,,CENPEP,
175148,0500000US39041,050,2010,Y-JUN,2016,,ESTIMATE,,,,CENPEP,
175116,0500000US39041,050,2010,Y-JUN,2017,,ESTIMATE,,,,CENPEP,
175098,0500000US39041,050,2010,Y-JUN,2018,,ESTIMATE,,,,CENPEP,
175099,0500000US39041,050,2010,Y-JUN,2019,,ESTIMATE,,,,CENPEP,
175114,0500000US39041,050,2010,Y-JUN,2020,,ESTIMATE,,,,CENPEP,
178759,0500000US39041,050,2011,Y-JUN,2024,,ESTIMATE,,,,CENINT,
178341,0500000US39041,050,2011,Y-JUN,2011,,ESTIMATE,,,,CENPEP,
178617,0500000US39041,050,2011,Y-JUN,2012,,ESTIMATE,,,,CENPEP,
178637,0500000US39041,050,2011,Y-JUN,2013,,ESTIMATE,,,,CENPEP,
178537,0500000US39041,050,2011,Y-JUN,2014,,ESTIMATE,,,,CENPEP,
178544,0500000US39041,050,2011,Y-JUN,2015,,ESTIMATE,,,,CENPEP,
178526,0500000US39041,050,2011,Y-JUN,2016,,ESTIMATE,,,,CENPEP,
178546,0500000US39041,050,2011,Y-JUN,2017,,ESTIMATE,,,,CENPEP,
178517,0500000US39041,050,2011,Y-JUN,2018,,ESTIMATE,,,,CENPEP,
178535,0500000US39041,050,2011,Y-JUN,2019,,ESTIMATE,,,,CENPEP,
178584,0500000US39041,050,2011,Y-JUN,2020,,ESTIMATE,,,,CENPEP,
181549,0500000US39041,050,2012,Y-JUN,2024,,ESTIMATE,,,,CENINT,
181061,0500000US39041,050,2012,Y-JUN,2012,,ESTIMATE,,,,CENPEP,
181188,0500000US39041,050,2012,Y-JUN,2013,,ESTIMATE,,,,CENPEP,
